"","P(Alpha>AT)","Information Ratio","P(Alpha<0|12M)","Batting Avg","P(Alpha<-5|12M)"
"13922",0.794594594594595,0.530196892061634,0.320574162679426,-0.00708589130314821,0.0334928229665072
"13923",0.567567567567568,0.239845995998994,0.411483253588517,-0.00971041188522765,0.0382775119617225
"13924",0.421621621621622,0.0929685282555385,0.449760765550239,-0.012689758644269,0.0574162679425837
"13925",0.416216216216216,-0.0187908320165883,0.464114832535885,-0.0189058907965143,0.172248803827751
"13926",0.702702702702703,0.444537074020423,0.330143540669856,-0.00716611276617113,0.0287081339712919
"13927",0.778378378378378,0.520159603021103,0.325358851674641,-0.0077890300519175,0.0334928229665072
"13928",0.427027027027027,0.0491849863471892,0.430622009569378,-0.0159978137638106,0.119617224880383
"13929",0.513513513513513,0.237794685334129,0.411483253588517,-0.0100614269221805,0.0382775119617225
"13930",0.394594594594595,0.0345153862659827,0.444976076555024,-0.014279984035722,0.100478468899522
"13931",0.583783783783784,0.189107049823798,0.416267942583732,-0.0125056175323966,0.062200956937799
"13932",0.778378378378378,0.516068462429778,0.301435406698565,-0.00574552870284675,0.0287081339712919
"13933",0.394594594594595,0.00401197843172595,0.449760765550239,-0.0152876868229739,0.114832535885167
"13934",0.513513513513513,0.168431779989585,0.416267942583732,-0.0109594859690298,0.0478468899521531
"13935",0.67027027027027,0.428322576180729,0.349282296650718,-0.00668456360038942,0.0287081339712919
"13936",0.491891891891892,0.106616816473669,0.45933014354067,-0.0149643689999305,0.124401913875598
"13937",0.513513513513513,0.274445428649937,0.392344497607655,-0.00843391125632852,0.0382775119617225
"13938",0.45945945945946,0.184877242463424,0.411483253588517,-0.0101302113014194,0.0430622009569378
"13939",0.556756756756757,0.26215580330003,0.392344497607655,-0.0106599289285735,0.0334928229665072
"13940",0.454054054054054,0.142362477774587,0.440191387559809,-0.0115510747127012,0.0382775119617225
"13941",0.610810810810811,0.379414286872049,0.325358851674641,-0.00653592308398586,0.0334928229665072
"13942",0.437837837837838,-0.00263094818825475,0.421052631578947,-0.01616080069684,0.114832535885167
"13943",0.52972972972973,0.295510329631453,0.37799043062201,-0.00814646857974895,0.0382775119617225
"13944",0.448648648648649,0.117394028977153,0.449760765550239,-0.0119976936754606,0.0574162679425837
"13945",0.4,-0.0640661532123146,0.444976076555024,-0.019479493383943,0.172248803827751
"13946",0.383783783783784,0.00167000140958664,0.449760765550239,-0.0153683972081226,0.114832535885167
"13947",0.540540540540541,0.303157693148053,0.392344497607655,-0.00852744282602392,0.0382775119617225
"13948",0.745945945945946,0.471353549942173,0.287081339712919,-0.00567498295113754,0.0287081339712919
"13949",0.497297297297297,0.190681674814439,0.416267942583732,-0.0114540241003967,0.0382775119617225
"13950",0.735135135135135,0.431183172100391,0.30622009569378,-0.00609390954020038,0.0287081339712919
"13951",0.610810810810811,0.212378343793035,0.406698564593301,-0.0118799695127195,0.062200956937799
"13952",0.454054054054054,0.0470584090747527,0.440191387559809,-0.0171722611989436,0.138755980861244
"13953",0.8,0.535424980144927,0.282296650717703,-0.00649894977946618,0.0334928229665072
"13954",0.432432432432432,0.071645769406887,0.454545454545455,-0.0134123945020884,0.076555023923445
"13955",0.702702702702703,0.446464574823445,0.334928229665072,-0.00733609417422726,0.0287081339712919
"13956",0.454054054054054,0.0951653736444822,0.425837320574163,-0.013382319130641,0.0909090909090909
"13957",0.724324324324324,0.48160365633163,0.344497607655502,-0.00763676487473161,0.0287081339712919
"13958",0.513513513513513,0.162946757547007,0.425837320574163,-0.0116641911844431,0.0526315789473684
"13959",0.475675675675676,0.117854467318341,0.45933014354067,-0.0135027717018442,0.062200956937799
"13960",0.394594594594595,-0.0864407249426973,0.478468899521531,-0.0247144445666294,0.22488038277512
"13961",0.4,-0.0831397805391492,0.473684210526316,-0.0241458590202803,0.22488038277512
"13962",0.745945945945946,0.431966961071819,0.31578947368421,-0.0064279625155268,0.0334928229665072
"13963",0.410810810810811,-0.0357928261828516,0.464114832535885,-0.021783770809782,0.196172248803828
"13964",0.394594594594595,-0.0748235925139663,0.4688995215311,-0.0240421130752277,0.22488038277512
"13965",0.8,0.535302404735198,0.277511961722488,-0.00657097204480257,0.0334928229665072
"13966",0.762162162162162,0.479135752107207,0.301435406698565,-0.00589237998670004,0.0287081339712919
